"","GSE51365_MVH68_WT_vs_Control","GSE51365_MVH68_M_vs_Control"
"104721",-0.12335,-0.0767
"104725",-0.0089,-0.0163
"104732",-0.1465,-0.2574
"104759",-0.0793,-0.1683
"104771",-0.0104,-0.0312666666666667
"104776",-0.0584,-0.0265
"104799",-0.04715,-0.04585
"104806",0.1103,0.113633333333333
"104816",-0.0089,0.0301
"104831",-0.1249,-0.1638
"104836",0.0937,0.055
"104859",0.0572,0.0382
"104871",-0.1958,-0.091
"104884",0.109,0.0746
"104885",-0.0963,-0.0412
"104886",-0.1972,0.0158
"104910",-0.0334,-0.1875
"104932",-0.2174,-0.0987
"104940697",0.1696,-0.0468
"104943",-0.0882,0.044
"105000",-0.1488,0.0434
"105005",0.0313,0.0696
"105014",0.0983,0.111
"105083",-0.0575,-0.0318
"105148",0.05725,0.02335
"105171",-0.066,-0.0766
"105180375",-0.2148,-0.2335
"105193",0.0721,0.0875
"105203",0.092,-0.07
"105239",-0.0889,-0.016
"105242581",0.1873,0.1468
"105242657",-0.0783,0.0329
"105242750",0.031,0.1264
"105243",-0.1284,-0.0037
"105243043",-0.02555,0.01545
"105243109",0.0458,-0.0787
"105243184",-0.0651,0.0838
"105243207",-0.0318,0.1219
"105243233",0.0769,-0.0557
"105243269",-0.0345,-0.1815
"105243282",0.1222,0.1593
"105243330",0.018,-0.0171
"105243422",-0.0792,-0.1244
"105243866",0.0741,0.0326
"105243925",-0.22,-0.0113
"105244117",0.0013,-0.1553
"105244158",0.0069,-0.0525
"105244227",0.018,0.0724
"105244487",-0.0507,-0.0637
"105244649",-0.0095,-0.0126
"105244659",-0.0156,-0.1387
"105244708",-0.0367,0.0105
"105244739",-0.0085,-0.0347
"105244793",0.017,0.0516
"105244916",-0.1018,-0.0052
"105244993",-0.0194,-0.0342
"105245",0.000399999999999998,-0.01915
"105245027",0.1842,0.127
"105245193",-0.2319,0.0054
"105245474",-0.0017,-0.013
"105245696",0.078,-0.0056
"105245705",0.2345,0.084
"105245780",-0.1347,-0.1584
"105245784",0.0326,0.1292
"105245924",-0.0531,-0.1608
"105246",-0.0859,-0.0516
"105246056",0.0505,0.0787
"105246059",-0.1391,-0.2121
"105246071",0.0091,-0.02545
"105246086",0.0461,-0.0969
"105246151",-0.0949,0.0328
"105246278",-0.00225,-0.03565
"105246409",-0.1087,-0.1218
"105246434",0.0457,-0.0236
"105246501",-0.2468,-0.1275
"105246959",-0.2064,-0.0203
"105247153",-0.0784,-0.003
"105247240",0.0573,0.1062
"105278",-0.0792,-0.0985
"105298",-0.0349333333333333,0.0367333333333333
"105348",0.0624,-0.0888
"105349",-0.2638,-0.2189
"105351",0.0225,-0.0378
"105352",0.047,-0.0778
"105355",-0.0131,0.1378
"105364",0.0446,-0.139
"105372",-0.0432,-0.0484
"105377",0.0708,0.1121
"105387",0.2933,0.3741
"105418",0.1498,0.048
"105428",0.00745,-0.0327
"105439",-0.109066666666667,0.0161666666666667
"105440",-0.0387,0.0486
"105445",0.0702666666666667,0.0113666666666667
"105446",-0.0881,0.0304
"105450",0.003125,-0.04805
"105501",-0.10605,-0.0846
"105504",-0.0068,-0.0222
"105511",0.0605,0.215
"105513",-0.0876,-0.1211
"105518",-0.1029,-0.0426
"105522",-0.0567,-0.0221
"105559",0.0953333333333333,0.0449333333333333
"105590",-0.1617,-0.1162
"105594",-0.0265666666666667,0.0093
