"","GSE30577_Rabies_vs_Control"
"113852",-2.4354
"113854",3.2884
"113859",-2.0058
"113860",0.4459
"113862",1.9939
"113863",0.8525
"113868",1.3468
"11409",-0.7136
"114128",-1.19275
"114141",0.0492
"114142",-0.1941
"114143",-1.7873
"11416",-0.29125
"11421",1.6448
"11423",-0.9095
"114230",0.220033333333333
"114249",0.840033333333333
"11425",0.8002
"114255",0.4543
"11426",-0.1677
"11430",-1.1139
"114301",-0.2671
"114304",-0.1853
"11431",1.86455
"11432",1.55776666666667
"11433",2.8231
"114332",1.65015
"11434",-1.4646
"11435",-1.01465
"11438",-0.0516
"11440",-1.282
"11441",3.3695
"11443",0.5315
"11444",-0.7194
"11447",0.6307
"114479",-0.6783
"11448",-0.00364999999999999
"11449",-0.5908
"11450",-0.1938
"11451",-0.4638
"114565",-0.8738
"114566",-0.6771
"114584",4.1
"114585",1.3141
"11459",0.9775
"114601",0.36125
"114604",2.7585
"11461",-0.7794
"114615",0.4001
"11464",1.0849
"114640",-1.75975
"114641",0.4374
"114642",2.8537
"114643",4.2232
"114644",-0.7801
"11465",0.1188
"114652",2.524
"114660",-0.292
"114661",0.1139
"114662",0.4108
"114664",2.863
"114673",1.4037
"114674",0.699
"114675",-0.5382
"114679",-1.1108
"11470",1.0976
"11471",0.4244
"114712",3.3169
"114713",-0.28545
"114715",-1.40723333333333
"114716",0.6851
"11474",0.9177
"114741",0.0619
"11475",0.58985
"11477",0.5079
"114774",-1.9625
"11479",1.7359
"11480",-0.35855
"11482",1.3605
"11486",5.1406
"114863",0.3135
"11487",0.1477
"114872",0.784
"114873",0.57416
"114874",1.8914
"114875",1.45055
"114889",0.542
"11489",0.5274
"114893",0.42385
"114896",-0.1731
"11490",1.866
"11491",1.68615
"11495",0.3473
"11496",0.2502
"11497",0.1192
"11499",0.2244
"11500",2.651
"11501",4.5963
"11502",0.3639
"11504",3.64655
"11513",1.23725
"11516",-0.5322
"11517",0.2083
"11519",-1.6246
"11522",1.1027
"11529",0.4773
"11535",1.4867
"11536",3.9183
"11537",0.80965
"11539",-1.7669
"11540",0.13345
"11541",1.5208
"11544",-4.4474
"11545",-1.0533
"11546",-0.453
"11548",-0.1549
"115486493",0.2041
"115486865",-0.8537
"115487729",-1.1644
"115487809",2.257
"115488525",1.23
"115488895",1.4131
"115489913",-0.2876
"11549",-0.00985
"115490424",-0.169
"11550",-0.9432
"11552",2.0196
"11554",0.7959
"11556",-0.1919
"11564",0.463
"11565",2.1659
"11566",1.282
"11567",-0.752
"11568",-1.9174
"11569",1.0306
"11571",0.1016
"11572",-2.7282
"11576",-0.2822
"11593",3.7486
"11596",1.1949
"11600",1.80615
"11601",5.3508
"11602",0.2996
"11603",0.112933333333333
"11604",-0.3348
"11605",3.2744
"11606",-0.0993
"11607",-1.5064
"11608",1.3078
"11610",3.0582
"11611",-2.2353
"11614",-0.1553
"11622",0.0305
"11624",0.4997
"11625",0.8086
"11628",0.2378
"11629",4.1471
"11630",5.2046
"11632",-2.2169
"11634",3.8422
"11637",2.3124
"11639",-3.0003
"11640",-1.8708
"11642",1.0089
"11643",0.32735
"11648",-0.6742
"11650",0.5436
"11651",0.96165
"11652",0.40475
"11655",1.1315
"11656",2.8881
"11657",-1.7664
"11658",1.0173
"11666",2.1947
"116701",2.3364
"11671",1.0719
"116732",0.6876
"116733",-0.4426
"11674",-2.0045
"116746",2.0416
"116748",1.3331
"11682",1.5212
"11684",-2.3967
"116847",-2.7257
"116848",0.2696
"11685",2.0891
"11686",-0.8046
"11687",1.0157
"116870",-3.1145
"116871",1.0275
"116872",1.4013
"116873",-0.967
"11689",0.2679
"116891",1.96405
"11690",6.1714
"116903",-0.0661
"116904",1.3323
"116905",-0.36
"116914",-0.8281
"11692",1.3801
"11694",2.4158
"116940",1.36515
"11695",1.3588
"116972",0.4371
"11698",-3.2304
"11699",0.9065
"117004",-0.013
"11704",1.96115
"11705",-0.2785
"117066",-0.0423
"117147",0.3976
"117148",-2.0208
"117149",3.2143
"117150",-0.1947
"117158",-0.092
"117160",-1.799
"117167",1.53625
"11717",1.95455
"117171",2.968
"117172",-1.1408
"117197",-1.377
"117198",1.4687
"11720",0.0359
"11722",-0.825
"117229",-0.2297
"11727",4.2312
"11735",-1.7759
"11736",4.9449
"11737",-0.0867
"11740",-4.0716
"11744",4.0982
"11745",2.9943
"11746",3.91985
"11747",-0.1188
"11749",-3.5931
"11750",-1.5008
"11752",0.4566
"11754",1.7557
"11758",0.937933333333333
"117586",4.5996
"117589",-0.339633333333333
"117590",-2.6159
"117591",1.3021
"117599",1.19046666666667
"117600",0.544175
"117606",-0.8972
"11761",0.4819
"11764",1.2933
"11765",0.54995
"11766",3.2459
"11767",-1.4291
"11768",-0.4989
"11769",1.3523
"11770",0.9241
"11772",-0.5619
"11773",-2.269425
"11776",-0.3443
"11777",-0.56485
"11778",-0.0852
"11781",0.7
"11783",2.25736666666667
"11787",1.05355
"11789",0.7307
"11790",0.5924
"11792",-1.5223
"11793",-1.0203
"11796",5.5645
"117962243",-0.1773
"11797",1.9153
"11798",-0.793933333333333
"11799",2.956
"11800",-0.9174
"11801",0.2075
"11803",-0.2048
"11804",-3.6144
"11806",1.4054
"11807",-1.3574
"11808",1.1156
"11810",3.9196
"11811",-1.1513
"11812",-1.2604
"11814",4.5897
"11815",4.0294
"11819",-1.08005
"11820",-1.3299
"11821",3.5891
"11826",-1.1872
"11827",0.9738
"11828",1.4436
"11829",1.9711
"11831",-0.3631
"11832",1.8079
"11833",0.0721
"11834",-1.545
"11836",1.7947
"11837",3.4
"11839",1.2596
"11840",-0.1275
"11841",2.2032
"11842",0.1393
"11843",4.2069
"11844",0.486
"118446",0.4441
"118449",2.29535
"11845",1.7946
"118451",1.07805
"118453",2.5889
"11846",3.4102
"11847",5.6263
"11848",0.84695
