"","GSE30577_Rabies_vs_Control"
"108841",-0.3252
"108853",-0.0625
"108888",0.9308
"108900",-1.8522
"108903",-0.9631
"108907",4.6774
"108909",4.1531
"108911",1.594
"108912",2.02365
"108927",-0.2625
"108937",-1.1078
"108946",0.20175
"108954",2.63525
"108956",4.274
"108960",3.9067
"108961",5.6745
"108989",-0.68
"108995",2.2065
"109006",0.81235
"109019",1.3608
"109032",6.3487
"109042",2.3694
"109050",-0.27185
"109052",-0.3438
"109054",2.296
"109065",-1.05885
"109075",0.0281
"109077",-0.366
"109079",0.0829
"109082",6.1145
"109093",0.4541
"109095",0.49335
"109113",-0.8259
"109129",2.5587
"109135",1.7771
"109145",-2.9734
"109151",-0.800133333333333
"109154",0.5421
"109163",4.6257
"109168",2.5472
"109181",0.2372
"109202",1.369
"109212",0.1867
"109215",2.9617
"109218",-0.5789
"109222",-0.5738
"109225",5.1789
"109226",1.4439
"109229",-0.7048
"109242",0.5783
"109245",0.1477
"109246",-0.5169
"109254",-0.3363
"109263",0.309066666666667
"109264",0.16575
"109267",-0.2769
"109270",3.0383
"109272",-1.3834
"109275",1.1452
"109284",0.4233
"109305",0.338
"109314",-0.7685
"109323",0.861
"109331",1.46595
"109332",-1.1265
"109333",2.256975
"109342",-0.4623
"109346",1.37835
"109349",-0.2544
"109359",-1.79665
"109552",1.4798
"109575",-0.2045
"109593",0.5046
"109594",1.8137
"109620",0.31095
"109624",-3.1526
"109637",-0.18
"109652",-1.86
"109658",0.46265
"109660",0.3536
"109676",-2.7044
"109685",2.53035
"109689",-1.8186
"109697",0.2769
"109700",1.9373
"109711",2.0849
"109731",1.9625
"109754",-0.20295
"109778",0.4512
"109785",0.67485
"109791",-0.1253
"109815",-0.2198
"109820",-2.4809
"109821",1.2822
"109857",0.4084
"109880",-0.42405
"109900",0.7952
"109901",2.516
"109910",-0.00465
"109929",-0.9616
"109934",-0.44315
"109978",0.3034
"109979",4.3071
"110006",2.488
"110012",-1.2
"110033",-0.2596
"110052",2.6131
"110074",-0.0341
"110075",-1.2433
"110078",-0.3675
"110082",0.8616
"110083",0.187133333333333
"110084",1.262075
"110094",2.37145
"110095",3.5712
"110109",-1.1984
"110119",-0.8972
"110135",1.0588
"110147",-0.002
"110157",-1.2299
"110168",4.5334
"110172",3.235
"110173",-1.5236
"110175",2.6898
"110187",-0.8733
"110196",-0.0382
"110208",2.81585
"110213",2.33285
"110253",4.4887
"110265",-2.5278
"110279",-0.04275
"110304",1.3159
"110308",1.6886
"110310",-0.94
"110312",1.3284
"110326",0.834
"110332",-1.3951
"110350",-0.2281
"110355",4.22615
"110382",-1.8143
"110385",-0.0777
"110417",-0.5204
"110446",0.4655
"110454",6.5812
"110521",1.5948
"110532",1.419
