"","GSE42264_Measles_vs_Control"
"105243",0.0504420485730775
"105243043",0.0426078850514119
"105243109",0.0580204778156997
"105243184",0.0455316057156697
"105243207",0.0690252985745473
"105243233",0.0588235294117647
"105243269",0.0516
"105243282",0.0536759004722633
"105243330",0.0864778478202965
"105243422",0.0413793103448276
"105243866",0.0747104968248039
"105243925",0.0517018749031558
"105244117",0.0600649350649351
"105244158",0.0470588235294118
"105244227",0.0717107262230325
"105244487",0.103438635728264
"105244649",0.0450157031522624
"105244659",0.0459751572834328
"105244708",0.0656005221932115
"105244739",0.0536440412887082
"105244793",0.0706269349845201
"105244916",0.0607574697711602
"105244993",0.0584677419354839
"105245",0.0301419658266416
"105245027",0.0457734004109686
"105245193",0.0603417586329655
"105245474",0.071957671957672
"105245696",0.0783242258652095
"105245705",0.0580159433126661
"105245780",0.0532377393028755
"105245784",0.0554901960784314
"105245924",0.0585349901896664
"105246",0.037891617273497
"105246056",0.046070460704607
"105246059",0.0664934270865179
"105246071",0.0631159416073683
"105246086",0.0936460860968815
"105246151",0.0460337504304902
"105246278",0.0330052487475482
"105246409",0.0665765461304495
"105246434",0.0615467528967933
"105246501",0.0608974358974359
"105246959",0.0436497727467627
"105247153",0.045282144211724
"105247240",0.0367335844367647
"105278",0.0389592882178485
"105298",0.0453019438330992
"105348",0.0421958942612161
"105349",0.132650073206442
"105351",0.0274802049371216
"105352",0.03964300539643
"105355",0.0660331384015595
"105364",0.0719041278295606
"105372",0.0359273556764345
"105377",0.0572458944514086
"105387",0.0790135883241067
"105418",0.0858850880106277
"105428",0.0377673477988108
"105439",0.0555495547514499
"105440",0.0416474388555607
"105445",0.0383664302726533
"105446",0.0385817070294298
"105450",0.0557933304221025
"105501",0.0518374399314943
"105504",0.0279774193548387
"105511",0.0490858274135321
"105513",0.0271192371621031
"105518",0.0718784735087069
"105522",0.0393835616438356
"105559",0.0734381546616701
"105590",0.0535940001685346
"105594",0.0525620267380248
"105638",0.0403744460182677
"105651",0.0447376402790415
"105653",0.0961763496631772
